lemma	part_of_speech	translations
антонида	noun	Antonida
антонина	noun	Antonina
антошкин	noun	Antoshkin
антуанет	noun	Antoinette
анурин	noun	Anurin
анфёров	noun	anferov
аня	noun	Ania]]|[[Anya
апачи	noun	Apache
апокалипсис	noun	Apocalypse|apocalypse|the Revelation
аполлон	noun	Apollo
аполлония	noun	Apolloniya|Apollonia
аппаков	noun	Appakov
аравия	noun	Arabia
арагви	noun	Aragvi
арагон	noun	Aragón|Aragon
аракелян	noun	Arakelian|Arakelyan
араки	noun	Araki
аракс	noun	Araks
аракчеев	noun	Arakcheyev
арам	noun	Aram
арарат	noun	Ararat
арбат	noun	Arbat
аргентина	noun	Argentina
ардасенов	noun	Ardasenov
ардатов	noun	Ardatov
арепьев	noun	Arepyev
арес	noun	Ares
арехин	noun	Arekhin
арзамас	noun	Arzamas
ариадна	noun	Ariadna
аризона	noun	Arizona
арина	noun	Arina
аристарх	noun	Aristarch
аристархов	noun	Aristarkhov
аристотель	noun	Aristotle
аркадий	noun	Arkadiy
аркадьевич	noun	Arkadyevitch
арканзас	noun	Arkansas
арктика	noun	Arctic
арлекин	noun	Harlequin
армавир	noun	Armavir
армагеддон	noun	Armageddon
армения	noun	Armenia
арнольд	noun	Arnold|Arnie
арон	noun	Aaron
арсеньев	noun	Arsenyev
артек	noun	Artek
артемий	noun	Artemius
артемчук	noun	Artemchuk
артемьевич	noun	Artemyevich
артищев	noun	Artishchev
артур	noun	Arthur
артём	noun	Artyom
аруба	noun	Aruba
аруначал-прадеш	noun	Arunachal Pradesh
арутюнов	noun	Arutyunov
архангельск	noun	Arkhangelsk|Archangel
архаров	noun	Arkharov
архимед	noun	Archimedes
архипов	noun	Arkhipov
арцах	noun	Artsakh
аршавин	noun	Arshavin
асауленко	noun	Asaulenko
асенефа	noun	Asenefa
асир	noun	Asir|Asher
асмодей	noun	Asmodai
асташков	noun	Astashkov
астрахань	noun	Astrakhan
астрид	noun	Astrid
асунсьон	noun	Asunción
атлант	noun	Atlas|atlantes|telamon|atlas
атлантида	noun	Atlantis
атлантика	noun	the Atlantic|Atlantic
атрей	noun	Atreus
аттила	noun	Attila
аурика	noun	Aurika
афганистан	noun	Afghanistan
африка	noun	Africa
афродита	noun	Aphrodite
ахматович	noun	Akhmatovich
ахматовна	noun	Akhmatovna
ахметшин	noun	Akhmetshin
ахрамеев	noun	Akhrameyev
ашдод	noun	Ashdod
аэлита	noun	Aelita
аэлла	noun	Aello
ая	noun	Aya
аязгулов	noun	Ayazgulov
аян	noun	Ayan
аяпберген	noun	Ayapbergen
аять	noun	Ayat
аяхта	noun	Ayakhta
аяцков	noun	Ayatskov
аяччо	noun	Ajaccio
баал	noun	Baal|Baʻal
баба-яга	noun	Baba Yaga
бабаков	noun	Babakov
бабарыко	noun	Babaryko
бабин	noun	Babin
бавария	noun	Bavaria
бад-швальбах	noun	Bad Schwalbach
баджер	noun	Badger
бажен	noun	Bazhen
байгулов	noun	Baygulov
байдин	noun	Baidin
байкал	noun	Baikal
байкулов	noun	Baikulov
баймак	noun	Baymak
байрамов	noun	Bayramov
байтеряков	noun	Bayteryakov
баканин	noun	Bakanin
бакрадзе	noun	Bakradze
бактрия	noun	Bactria
баку	noun	Baku
балакин	noun	Balakin
балалаев	noun	Balalayev
баланда	noun	Balanda|skilly
балтика	noun	Baltic Sea
бальзак	noun	Balzac
бангалор	noun	Bangalore
бангкок	noun	Bangkok
бангладеш	noun	Bangladesh
бандунг	noun	Bandung
баннов	noun	Bannov
барановичи	noun	Baranavichy|Baranovichi
барашков	noun	Barashkov
барбадос	noun	Barbados
барбашов	noun	Barbashov
бармаглот	noun	Jabberwocky
барнаул	noun	Barnaul
барселона	noun	Barcelona
барстоу	noun	Barstow
барсуков	noun	Badger
барух	noun	Barukh|Baruch
барышев	noun	Baryshev
басаев	noun	Basayev
батайск	noun	Bataysk
батин	noun	Batin
бах	noun	Bach|bang
бахметьев	noun	Bakhmetyev
бахорин	noun	Bakhorin
бахрейн	noun	Bahrain
бачурин	noun	Bachurin
башкортостан	noun	Bashkortostan
беата	noun	Beata
беатрикс	noun	Beatrice
беатрис	noun	Beatrice
беатриса	noun	Beatrice
бек	noun	Beck|bey
бекки	noun	Becky
бекс	noun	Bex
бел	noun	Bel|Bell|Bella|bel
беларусь	noun	Belarus
белиал	noun	Belial
белиз	noun	Belize
белинский	noun	Belinsky
белка	noun	Belka|squirrel
белл	noun	Bel|Bell|Bella
беллерофонт	noun	Bellerophon|Bellerophont
беллуччи	noun	Bellucci
белов	noun	Belov
белоруссия	noun	Belarus|Byelorussia|White Russia
белоснежка	noun	Snow White
белфаст	noun	Belfast
белых	noun	Belykh
бельведер	noun	Belvedere|belvedere|gazebo
бельгия	noun	Belgium
бельмопан	noun	Belmopan
бен	noun	Ben
бендеры	noun	Bendery
бенин	noun	Benin
бенишу	noun	Bénichou
беранже	noun	Béranger
берген	noun	Bergen
бердянск	noun	Berdiansk
береглазов	noun	Bereglazov
береговой	noun	Beregovoy|coastal
березовский	noun	Berezovsky|Berezowski
берлин	noun	Berlin
бермуды	noun	Bermuda|Bermuda shorts
бернхард	noun	Bernard|Barnard|Barney|Berney|Bernie|Nardie
бертолуччи	noun	Bertolucci
беспалов	noun	Bespalov
бесс	noun	Bess
бессарабия	noun	Bessarabia
бесси	noun	Bessie|Bessy
бет	noun	Beth
бетельгейзе	noun	Betelgeuse
бетси	noun	Betsy
бетти	noun	Betty
бетховен	noun	Beethoven
бештау	noun	Beshtau
библия	noun	Bible
биг мак	noun	Big Mac
бидди	noun	Biddie|Biddy
бизяев	noun	Bizyayev
бирма	noun	Burma
бирмингем	noun	Birmingham
биробиджан	noun	Birobidzhan
бирюлёво	noun	Biryulyovo
бисау	noun	Bissau
бихар	noun	Bihar
бишкек	noun	Bishkek
бланко	noun	Blanco
бланш	noun	Blanche|Blanch
бланшетт	noun	Blanchett
близнецы	noun	Gemini
бо-бассен — роз-хилл	noun	Beau Bassin-Rose Hill
бобик	noun	Bobik
бобруйск	noun	Babruysk
бовин	noun	Bovin
бог	noun	God|god
богдан	noun	Bogdan
богдана	noun	Bogdana
богданов	noun	Bogdanov
богемия	noun	Bohemia
богодухов	noun	Bohodukhiv
богоматерь	noun	mother of God
богородица	noun	the
богота	noun	Bogota|Bogotá
богумил	noun	Bogumil
богумила	noun	Bogumila
бодров	noun	Bodrov
божена	noun	Bozhena
божий	adjective	divine
бойко	noun	Boyko|Boiko
бойков	noun	Boykov
болгария	noun	Bulgaria
болдырев	noun	Boldyrev
болеслав	noun	Boleslaus|Boleslas|Boleslav
болеслава	noun	Boleslava
боливия	noun	Bolivia
болонья	noun	Bologna
бомбей	noun	Bombay
бона	noun	Bona
бонелло	noun	Bonello
бонн	noun	Bonn
бордо	noun	Bordeaux
боренже	noun	Bohringer
борис	noun	Boris
борисёнок	noun	Borisyonok
бородин	noun	Borodin
бостон	noun	Boston
босфор	noun	Bosphorus|Bosporus
ботани	noun	Botany Bay|ранее иногда Botanist Bay
ботсвана	noun	Botswana
боян	noun	Boian
боярский	noun	Boyarsky
брабант	noun	Brabant
брагин	noun	Bragin
браззавиль	noun	Brazzaville
бразилия	noun	Brazil|Brasil
брайан	noun	Brian
бранденбург	noun	Brandenburg
браслав	noun	Braslaw
братислава	noun	Bratislava
брежнев	noun	Brezhnev
бренда	noun	Brenda
брест	noun	Brest
бретань	noun	Brittany
бречкин	noun	Brechkin
бригадмил	noun	Brigadmil
бриджет	noun	Bridget
бриджит	noun	Bridget
бриджтаун	noun	Bridgetown
брисбен	noun	Brisbane
бристоль	noun	Bristol
британия	noun	Britain
бриттани	noun	Brittany
бровка	noun	Brovka|Browka|little eyebrow|border|edge|kerb
бронислава	noun	Bronislava
бруевич	noun	Bruevich
бруней	noun	Brunei
брэнд	noun	Brand
брюссель	noun	Brussels
брянск	noun	Bryansk
будапешт	noun	Budapest
будда	noun	Buddha
бузанов	noun	Buzanov
булеков	noun	Bulekov
булыгин	noun	Bulygin
буратино	noun	Buratino|Pinocchio
бурджанадзе	noun	Burjanadze
бурдуков	noun	Burdukov
буркина-фасо	noun	Burkina Faso
бурунди	noun	Burundi
бурцев	noun	Burtsev
бурятия	noun	Buryatia
бутан	noun	Bhutan|butane
быков	noun	Bykov
бытие	noun	Genesis|existence|being|esse
бычков	noun	Bychkov
бьёрнстранд	noun	Björnstrand
бэб	noun	Bab
внииссок	noun	Vniissok
вагин	noun	Vaghin
вадуц	noun	Vaduz
вайолет	noun	Violet
вайоминг	noun	Wyoming
вакаяма	noun	Wakayama
вакх	noun	Bacchus
валенсия	noun	Valencia
валентин	noun	Valentine
валентина	noun	Valentine
валерий	noun	Valery
валерия	noun	Valeria
