lemma	part_of_speech	translations
aramean	noun	阿拉姆語
arawak	adjective	阿拉瓦
arcadia	noun	阿卡迪亚
archimedes	noun	阿基米德
arctic	adjective	北极
arctic ocean	noun	北冰洋
arcturus	noun	大角
ardennes	noun	阿登省
ardèche	noun	阿尔代什省
ares	noun	阿瑞斯
arezzo	noun	阿雷佐
argentina	noun	阿根廷
argentine	noun	阿根廷
argentine republic	noun	阿根廷共和国
ari	noun	阿里
arida	noun	有田
ariel	noun	天卫一
aries	noun	白羊座
aristophanes	noun	阿里斯托芬
aristotelianism	noun	亞里斯多德主義
aristotle	noun	亚里士多德
arizona	noun	亞利桑那
ariège	noun	阿列日河
arkansas	noun	阿肯色
arkhangai	noun	後杭愛
arles	noun	亞爾
armenia	noun	亚美尼亚|亞美尼亞
armenian	noun	亚美尼亚人|亚美尼亚语
arne	noun	阿爾諾河
arnhem	noun	阿纳姆
arno	noun	阿爾諾河
art nouveau	noun	新艺术运动
artemis	noun	阿耳忒弥斯
arthur	noun	亚瑟
aruba	noun	阿鲁巴|阿魯巴
asaka	noun	朝霞
ascension	noun	基督升天日
ascension day	noun	基督升天日
ascension island	noun	阿森松岛
asclepius	noun	阿斯克勒庇厄斯
ash wednesday	noun	大斋首日
ashgabat	noun	阿什哈巴德
ashina	noun	阿史那
asia	noun	亚洲|亞洲
asian	adjective	亞洲的|亞洲人
asian black bear	noun	美洲黑熊
asmara	noun	阿斯马拉
asperger's syndrome	noun	亚斯伯格症候群
assam	noun	阿萨姆邦
assamese	noun	阿萨密语
assyria	noun	亚述
astana	noun	阿斯塔纳
asterix	noun	阿斯泰利克斯
astrakhan	noun	阿斯特拉罕
asturia	noun	阿斯图里亚斯
asturian	noun	阿斯图里亚斯语
asturias	noun	阿斯图里亚斯
asunción	noun	亚松森
aswan	noun	阿斯旺
atayal	noun	泰雅語
athena	noun	雅典娜
athens	noun	雅典
atlanta	noun	亚特兰大
atlantic ocean	noun	大西洋
atlantis	noun	大西国
atlas	noun	土卫十五|地图|大地图
atlántico	noun	大西洋
atsugi	noun	厚木
attica	noun	阿提卡
attila the hun	noun	阿提拉
aube	noun	奥布省
auckland	noun	奥克兰
aude	noun	奥德省
audrey	noun	奧德麗
auger effect	noun	俄歇效应
augsburg	noun	奥格斯堡
august	noun	八月|8月|逗哏
augustus	noun	8月|八月
auriga	noun	御夫座
aurora	noun	奥罗拉|极光
auschwitz	noun	奥斯威辛
austin	noun	奧斯汀
australasia	noun	澳大拉西亚
australia	noun	澳大利亚|澳大利亞
australian	adjective	澳大利亚的|澳大利亚人
australian english	noun	澳大利亞英語
austria	noun	奥地利
austria-hungary	noun	奥匈帝国
austrian	adjective	奥地利的|奥地利人
austrofascism	noun	奥法西斯主义
austronesian	adjective	南島
auvergne	noun	奥弗涅
avellino	noun	阿韦利诺
avestan	noun	阿維斯陀語
aveyron	noun	阿韦龙省
avignon	noun	亞維農
awa	noun	阿波
ayase	noun	綾瀨
aymara	noun	艾马拉语
ayurveda	noun	阿育吠陀
azerbaijan	noun	阿塞拜疆|亚塞拜然
azerbaijani	adjective	阿塞拜疆的|阿塞拜疆人|阿塞拜疆语
azores	noun	亚速尔群岛
b	noun	假如
b-sharp	noun	电梯
b-tree	noun	B树
bc	adverb	公元前
bce	adverb	公元前
babylon	noun	巴比伦
babylonia	noun	巴比伦尼亚
bach	noun	涓
bactrian camel	noun	双峰骆驼
badakhshan	noun	巴达克山
baden	noun	巴登
baden-württemberg	noun	巴登-符騰堡
baffin bay	noun	巴芬灣
bafut	noun	屄眼儿
baghdad	noun	巴格达
bahamas	noun	巴哈马|巴哈馬
bahia	noun	巴伊亚
bahrain	noun	巴林
baikal	noun	贝加尔
baikonur	noun	拜科努尔
baja california	noun	下加利福尼亚
baku	noun	巴库
balakliia	noun	巴拉克利亚
balearic islands	noun	巴利阿里群岛
bali	noun	巴厘岛
balkan	adjective	巴尔干
balkan peninsula	noun	巴尔干
balkans	noun	巴尔干
balochi	noun	俾路支语
balochistan	noun	俾路支斯坦
baltic	adjective	波罗的海|波羅的海
baltic sea	noun	波罗的海|波羅的海
baltimore	noun	巴爾的摩
bamako	noun	巴馬科
bambara	noun	班巴拉语
banda sea	noun	班達海
bandar seri begawan	noun	斯里巴加湾
bandō	noun	坂東
bangkok	noun	曼谷
bangladesh	noun	孟加拉国
bangladeshi	adjective	孟加拉的
bangui	noun	班吉
banjul	noun	班竹
barbados	noun	巴巴多斯
barbie	noun	娃娃
barcelona	noun	巴塞罗那|巴塞羅那
barents sea	noun	巴伦支海
barnabas	noun	伐那法斯
barnaul	noun	巴尔瑙尔
bartholomew	noun	巴多罗买
basel	noun	巴塞尔
bashkortostan	noun	巴什科尔托斯坦
basil	noun	瓦西里|罗勒
basque	adjective	巴斯克语|巴斯克人|巴斯克語|巴斯克內衣
