lemma	part_of_speech	translations
一力	noun	всеми|всех|изо|сил|силами|энергично
一動	noun	движении|каждом|при
一勢	noun	же|и|одно|то|что
一包堆	noun	гуртом|скопом|целиком
一半天	noun	вот-вот|день-другой|скоро|через
一半子	noun	наполовину|половина|половинка|пополам
一半點兒	noun	немного|немножко
一去	noun	быстро|в|миг|моментально|один|сразу
一去兒	noun	быстро|в|миг|моментально|один|сразу
一口三舌	noun	бесполезности|в|колесо|лишнего|о|обр.
一口兩舌	noun	а|б|болтливости|во|два|двуличности
一周遭兒	noun	вокруг|кругом
一命而僂	noun	гнуть|начальством|первый|перед|получив|спину
一和	noun	в|игре|карты|кости|одно|очко
一品圖	noun	1-го|журавль|класса|которого|красный|на
一品紅	noun	Euphorbia|Willd.|pulcherrima|бот.|красивейший|молочай
一哆兒	noun	брызга|вещества|или|капля|клейкого|тягучего
一哆子	noun	брызга|вещества|или|капля|клейкого|тягучего
一哇聲	noun	в|все|голос|диал.|один|хором
一回兒	noun	как-то|однажды|раз
一回半回	noun	времени|время|к|от|случаю|случая
一國	noun	государство|княжество|одна|одно|страна|царство
一國之秀	noun	всего|всей|государства|краса|нации|страны
一场	noun	действия|место
一堂兒	noun	заседание|комплект|набор|один|одно|помещение
一堆兒	noun	вместе|всей|группа|куча|кучей
一塊堆	noun	вместе
一塊堆兒	noun	вместе
一壁…一壁	noun	другой|одной|с|стороны
一夜夫妻	noun	браке|верности|кратковременной|на|недолговечном|ночь
一夜情	noun	рома́н на одну́ ночь|случа́йная связь
一大事	noun	абсолютного|буддисты|бытия|великое|дело|истинного
一大爬拉	noun	ворох|диал.|куча|целый
一大關	noun	большее|максимум|самое
一大陣	noun	времени|долго|много|о|особенно|очень
一天個	noun	весь|день|диал.|днями|за|сев.-зап.
一天天	noun	день|дня|днём|каждым|на|с
一夫多妻	noun	многожёнство|полигини́я
一夫當關	noun	в|заставу|месте|может|муж|неприступном
一奶同胞	noun	братья|единоутробные|родные
一妥二當	noun	в|всё|как|полном|порядке|следует
一妻主義	noun	моногамия
一妻多夫	noun	многомужество|полиандрия
一子兩不絕	noun	братьев|внуками|двух|дети|другой|дяди
一子雙祧	noun	см.|一子兩不絕
一孔	noun	взглядах|о|ограниченный|односторонний|узкий
一字不談	noun	и|молчанием|не|ни|обмолвиться|обойти
一字弄蝶	noun	см.|一線弄蝶
一字步	noun	актёра-комика|линейный|о|походке|шаг
一字缺	noun	Цин|вакантная|возможных|дин.|должность|из
一字蝶	noun	зоол.
一字長蛇陣	noun	длинная|длинный|обр.|очередь|ряд|цепочка
一宗兒	noun	дела|и|одного|п.|разряд|речи
一定之規	noun	определённый|порядок|правило|твёрдое
一家兒	noun	весь|всей|всем|вся|дом|домом
一寒至此	noun	быть|в|гол|двора|как|кола
一實	noun	говоря|по|поистине|правде
一寵性兒	noun	лезть|на|рожон|стремление|упорство|упрямство
一寸之地	noun	вершок|земли|клочок
一寸之眼	noun	важном|о|обр.|очи|пункте|самом
一寸同心缕	noun	бессмертием|вершок|всего|даже|доля|единодушии
一尊	noun	артиллерийских|о|один|орудиях|см.|статуях
一對	noun	па́ра
一就	noun	мимоходом|попутно
一就事兒	noun	мимоходом|попутно|сделать
一差半誤	noun	ошибка|промах
一差半錯	noun	ошибка|промах
一平如水	noun	водная|гладь|как|ровный
一年又一年	noun	в|год|года|годом|за|из
一年根	noun	бот.|корень|однолетний
一年比一年	noun	год|годом|за|каждым|с
一年生植物	noun	одноле́тник|однолетнее растение
一度	noun	унисо́н
一廂情願	noun	приня́тие жела́емого за действи́тельное
一弄	noun	всё|есть|один|сплошной|сплошь|только
一弄兒	noun	всё|есть|один|сплошной|сплошь|только
一張	noun	мат.|однополостный
一往一來	noun	бывать|кого-л.|поддерживать|связь|у
一往一反	noun	в|и|конца|оба|обратно|чуда
一往一返	noun	в|и|конца|оба|обратно|туда
一徑	noun	непосредственно|прямо|прямым|путём|сразу
一得一失	noun	другое|и|найдёшь|одно|потеряешь|то
一從	noun	как|пор|с|тех
一德	noun	высочайшие|держаться|добродетель|единство|единых|качества
一德一心	noun	см.|一心一德
一心一計	noun	всем|всеми|помыслами|сердцем
一心千里	noun	всем|всеми|другу|за|к|ли
一心無愧	noun	нечего|совесть|стыдиться|чиста
一忽兒	noun	и|как|мгновенно|мигом|минуты|не
一恍兒	noun	в|мгновение|одно|промелькнуть
一意	noun	единодушно
一應	noun	весь|во|всех|всём|отношениях
一成不易	noun	без|изменений|навсегда|незыблемый|неизменный|перемен
一截	noun	абзац|отрезок|часть
一手托天		безрассудном|держать|небо|невозможном|о|обр.
一打一拉	noun	в|действовать|знач.|и|к|кнутом
一打三反	noun	борьбу|вести|и|контрреволюции|коррупции|наносить
一批一批	noun	группа|группами|группой|за
一把子年級	noun	возраст|пожилой|почтенный
一把牢死攥	noun	держаться|за|крепко|на|привычное|своём
一把眼淚	noun	пригоршня|ручьи|слёз|ср.
一把老死拿兒	noun	см.|一把牢死拿兒
一抑一揚	noun	вверх|взлеты|вниз|всплывать|и|награды
一抱	noun	охапка
一抹兒	noun	время|всё|знать|и|только|что
一抹地	noun	время|всё|знать|и|только|что
一抹臉兒	noun	безучастное|выражение|диал.|пекинский|принимать|с
一抿子	noun	бумагах|вм.|делах|диал.|о|один
一拉溜兒	noun	зона|полоса|пояс
一指禪	noun	будд|будд.|все|дармы|достиг|единой
一指頭禪	noun	будд|будд.|все|дармы|достиг|единой
一捏捏兒	noun	мало|малость|очень|щепотка
一捻捻	noun	миниатюрный|новокит.|очень|тонкий
一捻紅	noun	пион
一掃光	noun	см.|一掃而空
一掃而盡	noun	всё|вымести|земли|как|ликвидировать|лица
一掌	noun	ладонь|о|обр.|пятерня|растопыренном|расходящемся
一排子	noun	же|и|одного|порядка|ранга|того
一推兩桑兒	noun	толкать
一提	noun	упоминание|упоминать
一握	noun	горсть|горстью|одна|одной|рука|рукой
一搭兒	noun	вместе|сообща
一搭兩用	noun	в|годиться|двойная|для|и|обоих
一搭兩用兒	noun	в|годиться|двойная|для|и|обоих
一搭刮子	noun	вместе|все|гуртом|скопом
一摟粗	noun	в|обхват|один|толщиною
一撥	noun	один|раз
一撥兒	noun	один|раз
一撥子	noun	один|раз
一撮	noun	горстка|клочок|количество|ничтожное|щепотка
一撮兒	noun	горстка|клочок|количество|ничтожное|щепотка
一撮子	noun	клок|прядь|пучок
一撲納心兒	noun	скромно|сосредоточенно
一擔兒挑	noun	двух|мужьях|о|свойство|свояки|сестёр
一擦就著	noun	вспыльчивом|вспыхнет|и|ирон.|о|раз
一擫紅	noun	пион
一擰擰	noun	диал.|мелкий|ничтожный
一擲	noun	бросок|игре|метание|при|ставка
一擲十萬	noun	yīzhíqiānjīn|ва-банк|все|денег|деньгами|деньги
一擺溜	noun	все|диал.|зона|окрестности|округа|пояс
一文不通	noun	аза|знать|не|неграмотный|ни
一文錢六個字兒	noun	в|всё|знаков|знач.|известно|как
一文願	noun	XIX|в.|внутренняя|вэневый|вэню|зерна
一无可取	noun	него|нет|нечего|ничего|позаимствовать|поучительного
一旦	adverb	как то́лько
一早一晚	noun	вечером|то|утром
一明兩暗	noun	бокам|в|гостиной|двумя|дом|и
一星一點兒	noun	капельку|количество|мизерное|ничтожное|чуточку|чуть
一星之火	noun	искорка|огонёк
一是	noun	весь|все
一時一時	noun	ежечасно|за|час|часом
一時性	noun	кратковременный|нестойкий|характер
一景	noun	жизни|занятие|основное|цель
一景兒	noun	жизни|занятие|основное|цель
一曏	noun	см.|一晌
一月/翻譯	noun	янва́рь
一望	noun	в|взгляд|зрения|зримое|на|насколько
一望平川	noun	взором|перед|равнина|расстилается|сплошная
一朝之忿	noun	возмущения|вспышка|гнева|короткая
一本一利	noun	выплата|капитала|после|прекращалась|процентов|с
一条鞭	noun	Мин|видов|всех|дин.|единый|ист.
一根藤上的毒瓜	noun	в|знач.|обр.|одного|поля|с
